SSR6ZzjDZ94,Boston,More Than A Feeling,more,"It's more than a feeling, when I hear that old song they used to play (__ than a feeling)",120450,129230,8780,0,string_ore,string_ore,strings,,,,,,
SSR6ZzjDZ94,Boston,More Than A Feeling,more,I begin dreaming (__ than a feeling),129230,132990,3760,0,string_ore,string_ore,strings,,,,,,
SSR6ZzjDZ94,Boston,More Than A Feeling,more,"It's __ than a feeling, when I hear that old song they used to play (more than a feeling)",238000,246430,8430,0,string_ore,string_ore,strings,,,,,,
SSR6ZzjDZ94,Boston,More Than A Feeling,more,"It's more than a feeling, when I hear that old song they used to play (__ than a feeling)",238000,246430,8430,0,string_ore,string_ore,strings,,,,,,
SSR6ZzjDZ94,Boston,More Than A Feeling,more,I begin dreaming (__ than a feeling),246430,250980,4550,0,string_ore,string_ore,strings,,,,,,
GemKqzILV4w,Snow Patrol,Chasing Cars,Before,__ we get too old,117680,123860,6180,0,string_ore,string_ore,strings,,,,,,
GemKqzILV4w,Snow Patrol,Chasing Cars,Before,__ we get too old,192880,197610,4730,0,string_ore,string_ore,strings,,,,,,
3mbBbFH9fAg,Soundgarden,Black Hole Sun,anymore,No one sings like you __,105870,112100,6230,1,string_ore,string_ore,strings,,,,,,
gxEPV4kolz0,Billy Joel,Piano Man,wore,"""When I __ a younger man's clothes.""""""",68430,73150,4720,0,string_ore,string_ore,strings,,,,,,
y8AWFf7EAc4,Alexandra Burke,Hallelujah,before,But baby I've been here __,159600,161990,2390,0,string_ore,string_ore,strings,,,,,,
y8AWFf7EAc4,Alexandra Burke,Hallelujah,before,"You know, I used to live alone __ I knew ya",165800,172800,7000,0,string_ore,string_ore,strings,,,,,,
OjyZKfdwlng,Warrant,Cherry Pie,ignore,don't even try 'cause you can't __ her,66980,69670,2690,1,string_ore,string_ore,strings,,,,,,
OjyZKfdwlng,Warrant,Cherry Pie,more,he said you ain't gonna swing with my daughter no __,166120,200000,33880,1,string_ore,string_ore,strings,,,,,,
sAYrAu-jnMY,Alter Bridge,Addicted To Pain,anymore,But you don't listen __,51210,57930,6720,1,string_ore,string_ore,strings,,,,,,
sAYrAu-jnMY,Alter Bridge,Addicted To Pain,anymore,You don't live it __,233690,237550,3860,1,string_ore,string_ore,strings,,,,,,
sAYrAu-jnMY,Alter Bridge,Addicted To Pain,anymore,You don't live it __,249660,259000,9340,1,string_ore,string_ore,strings,,,,,,
VcjzHMhBtf0,Journey,Don'T Stop Believin',more,Just one __ time,132920,137590,4670,0,string_ore,string_ore,strings,,,,,,
sxdmw4tJJ1Y,Scorpions,Rock You Like A Hurricane,More,"__ days to come, new places to go",56610,60620,4010,1,string_ore,string_ore,strings,,,,,,
OYjZK_6i37M,Godsmack,I Stand Alone,before,Now I've told you this once __,23590,27300,3710,0,string_ore,string_ore,strings,,,,,,
OYjZK_6i37M,Godsmack,I Stand Alone,before,Resurrected back __ the final fallen,68470,73920,5450,0,string_ore,string_ore,strings,,,,,,
OYjZK_6i37M,Godsmack,I Stand Alone,Before,__ you can breathe,158790,164650,5860,0,string_ore,string_ore,strings,,,,,,
2X_2IdybTV0,Kansas,Carry On Wayward Son,more,Don't you cry no __,11170,66040,54870,0,string_ore,string_ore,strings,,,,,,
2X_2IdybTV0,Kansas,Carry On Wayward Son,more,Don't you cry no __,109510,123620,14110,0,string_ore,string_ore,strings,,,,,,
2X_2IdybTV0,Kansas,Carry On Wayward Son,more,Don't you cry no __,163790,223260,59470,0,string_ore,string_ore,strings,,,,,,
2X_2IdybTV0,Kansas,Carry On Wayward Son,more,Don't you cry no __,249760,324000,74240,0,string_ore,string_ore,strings,,,,,,
i3MXiTeH_Pg,Whitesnake,Here I Go Again,more,"An' I've made up my mind, I ain't wasting no __ time",28400,37660,9260,0,string_ore,string_ore,strings,,,,,,
i3MXiTeH_Pg,Whitesnake,Here I Go Again,more,"An' I've made up my mind, I ain't wasting no __ time",93870,104150,10280,0,string_ore,string_ore,strings,,,,,,
i3MXiTeH_Pg,Whitesnake,Here I Go Again,more,"An' I've made up my mind, I ain't wasting no __ time",145780,155540,9760,0,string_ore,string_ore,strings,,,,,,
i3MXiTeH_Pg,Whitesnake,Here I Go Again,more,"An' I've made up my mind, I ain't wasting no __ time",220160,231310,11150,0,string_ore,string_ore,strings,,,,,,
37ZaSINRDGM,Toto,Africa,more,There's nothing that a hundred men or __ could ever do,81750,86390,4640,0,string_ore,string_ore,strings,,,,,,
37ZaSINRDGM,Toto,Africa,more,There's nothing that a hundred men or __ could ever do,149520,154410,4890,0,string_ore,string_ore,strings,,,,,,
37ZaSINRDGM,Toto,Africa,more,There's nothing that a hundred men or __ could ever do,204780,210050,5270,0,string_ore,string_ore,strings,,,,,,
NRtvqT_wMeY,Soul Asylum,Runaway Train,more,One __ promise I couldn't keep,36990,40000,3010,0,string_ore,string_ore,strings,,,,,,
UrIiLvg58SY,Extreme,More Than Words,More,__ than words is all you have to do to make it real,53780,63790,10010,0,string_ore,string_ore,strings,,,,,,
UrIiLvg58SY,Extreme,More Than Words,More,__ than words to show you feel,89640,95250,5610,0,string_ore,string_ore,strings,,,,,,
UrIiLvg58SY,Extreme,More Than Words,More,__ than words,128400,142190,13790,0,string_ore,string_ore,strings,,,,,,
UrIiLvg58SY,Extreme,More Than Words,More,__ than words is all I ever needed you to show,174240,184610,10370,0,string_ore,string_ore,strings,,,,,,
UrIiLvg58SY,Extreme,More Than Words,More,__ than words to show you feel,210810,216310,5500,0,string_ore,string_ore,strings,,,,,,
UrIiLvg58SY,Extreme,More Than Words,More,__ than words,250060,257000,6940,0,string_ore,string_ore,strings,,,,,,
j5-yKhDd64s,Eminem,Not Afraid,before,You can try and read my lyrics off of this paper __ I lay 'em,22220,25330,3110,1,string_ore,string_ore,strings,,,,,,
j5-yKhDd64s,Eminem,Not Afraid,before,But you won't take the sting out these words __ I say 'em,25330,28150,2820,1,string_ore,string_ore,strings,,,,,,
